dateTime,open,high,low,close,volume,RSI21,VWAP,SMA21,EMA21,WMA21,MACD8_21
2021-06-12 07:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 08:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 09:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 10:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 11:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 12:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
